1.,242644,9.59707504%
1.1,76717,3.03431697%
10.,3390,0.13408155%
11,79701,3.15234038%
19,123056,4.86712083%
1997,6039,0.23885501%
20,251375,9.94240426%
200,160621,6.35289474%
2001,14091,0.55732837%
201,76599,3.02964982%
2010,17044,0.67412566%
2012,26437,1.04563835%
30,16745,0.66229959%
affa,2233,0.08831980%
affai,2108,0.08337579%
alf,1987,0.07858998%
ama,16451,0.65067128%
an,375124,14.83693468%
and,106720,4.22099804%
anne,3419,0.13522856%
arm,8536,0.33761656%
at,196254,7.76225403%
au,55156,2.18153456%
auf,3961,0.15666579%
awa,10202,0.40351033%
awak,743,0.02938720%
awards,2536,0.10030408%
ba,86795,3.43292284%
babes,551,0.02179320%
bail,600,0.02373125%
bat,8897,0.35189486%
bea,11317,0.44761090%
ben,9233,0.36518436%
big,10558,0.41759087%
bio,1247,0.04932144%
bir,6333,0.25048333%
bl,53010,2.09665579%
block,1004,0.03971029%
bonn,631,0.02495736%
boy,8802,0.34813741%
br,51305,2.02921950%
brea,6032,0.23857815%
bri,12343,0.48819133%
british,611,0.02416632%
ca,115751,4.57819288%
cars,801,0.03168122%
ce,92290,3.65026152%
ch,175082,6.92485738%
cha,35816,1.41659732%
chan,8078,0.31950171%
charl,2521,0.09971080%
chicken,991,0.03919611%
cl,27352,1.08182851%
co,117375,4.64242546%
come,7356,0.29094510%
cor,9765,0.38622607%
cous,594,0.02349394%
cov,2669,0.10556450%
d,798058,31.56485434%
da,117428,4.64452172%
dak,992,0.03923566%
de,243530,9.63211819%
der,54389,2.15119811%
des,22764,0.90036356%
di,108536,4.29282462%
die,25578,1.01166312%
divi,1358,0.05371173%
do,89858,3.55407086%
dr.,1942,0.07681014%
ea,133235,5.26972146%
edu,1873,0.07408105%
eri,30217,1.19514522%
erot,942,0.03725806%
fa,56450,2.23271495%
fen,3410,0.13487259%
fes,5549,0.21947450%
foo,5502,0.21761555%
fro,14404,0.56970817%
ge,115800,4.58013093%
gh,52781,2.08759837%
gi,48835,1.93152586%
gra,16829,0.66562196%
grand,4086,0.16160980%
great,5476,0.21658719%
ha,141087,5.58028440%
he,431607,17.07095485%
hel,11222,0.44385345%
her,47843,1.89229019%
hig,5713,0.22596104%
hir,5584,0.22085882%
his,14750,0.58339319%
ho,126941,5.02078066%
hu,30820,1.21899512%
il,127891,5.05835514%
ill,39607,1.56653926%
imper,676,0.02673721%
in,389974,15.42428308%
inde,4144,0.16390382%
indian,1392,0.05505650%
ins,17897,0.70786359%
isla,3332,0.13178753%
it,154592,6.11443524%
je,25581,1.01178177%
jona,596,0.02357304%
jou,4379,0.17319856%
ka,59265,2.34405406%
kne,1877,0.07423926%
la,186775,7.38733985%
le,230160,9.10330687%
li,162353,6.42139894%
lie,17290,0.68385547%
life,10978,0.43420274%
lisa,1037,0.04101551%
livi,2949,0.11663909%
lo,125003,4.94412873%
loc,5540,0.21911853%
loca,917,0.03626926%
ma,191429,7.57141524%
male,1638,0.06478631%
man,50571,2.00018827%
meg,1576,0.06233408%
miss,6195,0.24502514%
mode,2952,0.11675774%
mon,24315,0.96170884%
moon,3182,0.12585472%
my,26265,1.03883540%
má,2062,0.08155639%
na,121723,4.81439791%
ne,173203,6.85053902%
no,100365,3.96964457%
nom,2325,0.09195859%
not,10474,0.41426849%
of,125333,4.95718092%
ok,32643,1.29109857%
one,34535,1.36593110%
ou,142132,5.62161632%
pa,113875,4.50399318%
pass,4179,0.16528814%
perso,1499,0.05928857%
pl,35271,1.39504143%
pol,7941,0.31408307%
pre,16496,0.65245112%
rap,6885,0.27231607%
rebel,871,0.03444986%
resu,1394,0.05513560%
riv,8794,0.34782100%
rob,8011,0.31685172%
rui,2310,0.09136531%
s,1106931,43.78142413%
sc,56313,2.22729631%
sec,10737,0.42467069%
sen,16387,0.64813994%
shi,26070,1.03112274%
sk,21422,0.84728467%
snake,735,0.02907078%
son,24315,0.96170884%
sp,47481,1.87797234%
spac,2954,0.11683685%
spe,16477,0.65169963%
spea,1161,0.04591997%
st,239894,9.48830682%
ste,41917,1.65790456%
stea,1454,0.05750873%
sto,29103,1.15108420%
str,26651,1.05410250%
su,62013,2.45274317%
sup,6491,0.25673256%
sw,10463,0.41383342%
tal,19584,0.77458795%
tat,9240,0.36546122%
tee,6402,0.25321242%
th,410433,16.23347910%
the,339129,13.41325754%
tou,8076,0.31942260%
tran,6435,0.25451764%
tri,18290,0.72340755%
tro,16954,0.67056597%
un,125531,4.96501223%
unter,3819,0.15104940%
vi,76171,3.01272153%
vic,5419,0.21433272%
vin,12162,0.48103240%
wa,70125,2.77358965%
walki,621,0.02456184%
we,51561,2.03934483%
win,12546,0.49622040%
wom,6031,0.23853860%
yar,2195,0.08681682%
ze,20814,0.82323701%
zen,4196,0.16596053%
