query_id,workload_file,workload_row_number,table_name,column_name,predicate_value,expected_matching_rows,expected_matching_percent,query_ngram_count,query_fingerprint_width,query_fingerprint_ones,metadata_version,merge_step,metadata_file,partition_file_count,metadata_total_size_bytes,ground_truth_partition_count,metadata_partition_count,pruned_partition_count,false_positive_partition_count,false_negative_partition_count
0,title.title_queries.txt,1,title,title,1.,242644,9.59707504%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,153,155,0,2,0
1,title.title_queries.txt,2,title,title,1.1,76717,3.03431697%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,114,155,0,41,0
2,title.title_queries.txt,3,title,title,10.,3390,0.13408155%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,116,155,0,39,0
3,title.title_queries.txt,4,title,title,11,79701,3.15234038%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
4,title.title_queries.txt,5,title,title,19,123056,4.86712083%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
5,title.title_queries.txt,6,title,title,1997,6039,0.23885501%,3,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,138,155,0,17,0
6,title.title_queries.txt,7,title,title,20,251375,9.94240426%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
7,title.title_queries.txt,8,title,title,200,160621,6.35289474%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
8,title.title_queries.txt,9,title,title,2001,14091,0.55732837%,3,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,153,155,0,2,0
9,title.title_queries.txt,10,title,title,201,76599,3.02964982%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
10,title.title_queries.txt,11,title,title,2010,17044,0.67412566%,3,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
11,title.title_queries.txt,12,title,title,2012,26437,1.04563835%,3,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
12,title.title_queries.txt,13,title,title,30,16745,0.66229959%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
13,title.title_queries.txt,14,title,title,affa,2233,0.08831980%,3,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
