metadata_version,metadata_file,fingerprint_width,feature_selection_method,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,block_presence_count,total_block_count,block_frequency
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,2,0.05,1.0,title,title,0,.!,78,155,0.5032258064516129
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,2,0.05,1.0,title,title,1,3/,77,155,0.4967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,2,0.05,1.0,title,title,2,cv,77,155,0.4967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,2,0.05,1.0,title,title,3,7t,82,155,0.5290322580645161
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,2,0.05,1.0,title,title,4,x!,70,155,0.45161290322580644
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,2,0.05,1.0,title,title,5,z.,80,155,0.5161290322580645
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,2,0.05,1.0,title,title,6,$1,80,155,0.5161290322580645
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,2,0.05,1.0,title,title,7,'0,96,155,0.6193548387096774
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,2,0.05,1.0,title,title,0,.!,78,155,0.5032258064516129
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,2,0.05,1.0,title,title,1,3/,77,155,0.4967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,2,0.05,1.0,title,title,2,cv,77,155,0.4967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,2,0.05,1.0,title,title,3,7t,82,155,0.5290322580645161
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,2,0.05,1.0,title,title,4,x!,70,155,0.45161290322580644
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,2,0.05,1.0,title,title,5,z.,80,155,0.5161290322580645
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,2,0.05,1.0,title,title,6,$1,80,155,0.5161290322580645
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,2,0.05,1.0,title,title,7,'0,96,155,0.6193548387096774
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,2,0.05,1.0,title,title,8,3t,76,155,0.49032258064516127
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,2,0.05,1.0,title,title,9,'5,59,155,0.38064516129032255
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,2,0.05,1.0,title,title,10, =,68,155,0.43870967741935485
