metadata_version,metadata_file,fingerprint_width,feature_selection_method,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,block_presence_count,total_block_count,block_frequency
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,4,0.0,0.25,title,title,0, $10,38,155,0.24516129032258063
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,4,0.0,0.25,title,title,1, 6 -,38,155,0.24516129032258063
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,4,0.0,0.25,title,title,2,.487,38,155,0.24516129032258063
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,4,0.0,0.25,title,title,3,/dis,38,155,0.24516129032258063
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,4,0.0,0.25,title,title,4,unou,38,155,0.24516129032258063
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,4,0.0,0.25,title,title,5,kkot,38,155,0.24516129032258063
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,4,0.0,0.25,title,title,6,u sk,38,155,0.24516129032258063
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy,4,0.0,0.25,title,title,7,if m,36,155,0.23225806451612904
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,0, $10,38,155,0.24516129032258063
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,1, 6 -,38,155,0.24516129032258063
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,2,.487,38,155,0.24516129032258063
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,3,/dis,38,155,0.24516129032258063
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,4,unou,38,155,0.24516129032258063
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,5,kkot,38,155,0.24516129032258063
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,6,u sk,38,155,0.24516129032258063
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,7,if m,36,155,0.23225806451612904
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,8, zek,36,155,0.23225806451612904
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,9,on!!,36,155,0.23225806451612904
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,10,ptab,38,155,0.24516129032258063
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,11,ra-t,37,155,0.23870967741935484
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,12, niv,33,155,0.2129032258064516
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy,4,0.0,0.25,title,title,13, $50,31,155,0.2
