feature_selection_method,ngram_size,min_block_frequency,max_block_frequency,fingerprint_width,metadata_size_bytes,mean_unnecessary_block_read_ratio,zero_bit_query_count,query_count,total_candidate_partitions,total_pruned_partitions,total_ground_truth_partitions,false_positive_partition_count,false_negative_partition_count,run_directory
local_split_entropy,2,0.0,0.1,8,155,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p1
local_split_entropy,2,0.0,0.1,16,310,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p1
local_split_entropy,2,0.0,0.1,32,620,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p1
local_split_entropy,2,0.0,0.1,64,1240,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p1
local_split_entropy,2,0.0,0.1,128,2480,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p1
local_split_entropy,2,0.0,0.1,256,4960,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p1
local_split_entropy,2,0.0,0.25,8,155,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p25
local_split_entropy,2,0.0,0.25,16,310,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p25
local_split_entropy,2,0.0,0.25,32,620,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p25
local_split_entropy,2,0.0,0.25,64,1240,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p25
local_split_entropy,2,0.0,0.25,128,2480,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p25
local_split_entropy,2,0.0,0.25,256,4960,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p25
local_split_entropy,2,0.0,0.5,8,155,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p5
local_split_entropy,2,0.0,0.5,16,310,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p5
local_split_entropy,2,0.0,0.5,32,620,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260916T162314_736232Z/local_split_entropy/ngram_2/min_block_frequency_0/max_block_frequency_0p5
