metadata_version,metadata_file,fingerprint_width,feature_selection_method,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,block_presence_count,total_block_count,block_frequency
0,block_infix_fingerprint_v000.json,8,local_split_entropy,2,0.0,0.1,title,title,0, *,15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,local_split_entropy,2,0.0,0.1,title,title,1,q/,15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,local_split_entropy,2,0.0,0.1,title,title,2,s4,15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,local_split_entropy,2,0.0,0.1,title,title,3,'),15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,local_split_entropy,2,0.0,0.1,title,title,4,k9,15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,local_split_entropy,2,0.0,0.1,title,title,5,0?,15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,local_split_entropy,2,0.0,0.1,title,title,6,*e,13,155,0.08387096774193549
0,block_infix_fingerprint_v000.json,8,local_split_entropy,2,0.0,0.1,title,title,7,1%,13,155,0.08387096774193549
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,0, *,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,1,q/,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,2,s4,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,3,'),15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,4,k9,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,5,0?,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,6,*e,13,155,0.08387096774193549
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,7,1%,13,155,0.08387096774193549
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,8,#@,14,155,0.09032258064516129
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,9,6b,14,155,0.09032258064516129
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,10,n@,12,155,0.07741935483870968
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,11,4m,11,155,0.07096774193548387
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,12,m6,7,155,0.04516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,13,&c,8,155,0.05161290322580645
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,14,8r,5,155,0.03225806451612903
1,block_infix_fingerprint_v001.json,16,local_split_entropy,2,0.0,0.1,title,title,15,b0,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,local_split_entropy,2,0.0,0.1,title,title,0, *,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,local_split_entropy,2,0.0,0.1,title,title,1,q/,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,local_split_entropy,2,0.0,0.1,title,title,2,s4,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,local_split_entropy,2,0.0,0.1,title,title,3,'),15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,local_split_entropy,2,0.0,0.1,title,title,4,k9,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,local_split_entropy,2,0.0,0.1,title,title,5,0?,15,155,0.0967741935483871
