metadata_version,metadata_file,fingerprint_width,feature_selection_method,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,block_presence_count,total_block_count,block_frequency
0,block_infix_fingerprint_v000.json,8,local_split_entropy,4,0.0,1.0,title,title,0, (de,78,155,0.5032258064516129
0,block_infix_fingerprint_v000.json,8,local_split_entropy,4,0.0,1.0,title,title,1, (ii,69,155,0.44516129032258067
0,block_infix_fingerprint_v000.json,8,local_split_entropy,4,0.0,1.0,title,title,2, (an,76,155,0.49032258064516127
0,block_infix_fingerprint_v000.json,8,local_split_entropy,4,0.0,1.0,title,title,3, #1 ,51,155,0.32903225806451614
0,block_infix_fingerprint_v000.json,8,local_split_entropy,4,0.0,1.0,title,title,4, & y,68,155,0.43870967741935485
0,block_infix_fingerprint_v000.json,8,local_split_entropy,4,0.0,1.0,title,title,5, 'co,68,155,0.43870967741935485
0,block_infix_fingerprint_v000.json,8,local_split_entropy,4,0.0,1.0,title,title,6, 'ti,90,155,0.5806451612903226
0,block_infix_fingerprint_v000.json,8,local_split_entropy,4,0.0,1.0,title,title,7, '80,49,155,0.3161290322580645
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,0, (de,78,155,0.5032258064516129
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,1, (ii,69,155,0.44516129032258067
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,2, (an,76,155,0.49032258064516127
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,3, #1 ,51,155,0.32903225806451614
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,4, & y,68,155,0.43870967741935485
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,5, 'co,68,155,0.43870967741935485
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,6, 'ti,90,155,0.5806451612903226
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,7, '80,49,155,0.3161290322580645
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,8, 'bo,54,155,0.34838709677419355
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,9, 'ca,56,155,0.36129032258064514
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,10, #10,60,155,0.3870967741935484
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,11, & u,86,155,0.5548387096774193
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,12, 'go,45,155,0.2903225806451613
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,13, 'li,50,155,0.3225806451612903
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,14, 'to,56,155,0.36129032258064514
1,block_infix_fingerprint_v001.json,16,local_split_entropy,4,0.0,1.0,title,title,15, #11,47,155,0.3032258064516129
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,0, (de,78,155,0.5032258064516129
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,1, (ii,69,155,0.44516129032258067
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,2, (an,76,155,0.49032258064516127
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,3, #1 ,51,155,0.32903225806451614
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,4, & y,68,155,0.43870967741935485
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,5, 'co,68,155,0.43870967741935485
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,6, 'ti,90,155,0.5806451612903226
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,7, '80,49,155,0.3161290322580645
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,8, 'bo,54,155,0.34838709677419355
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,9, 'ca,56,155,0.36129032258064514
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,10, #10,60,155,0.3870967741935484
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,11, & u,86,155,0.5548387096774193
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,12, 'go,45,155,0.2903225806451613
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,13, 'li,50,155,0.3225806451612903
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,14, 'to,56,155,0.36129032258064514
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,15, #11,47,155,0.3032258064516129
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,16, #13,37,155,0.23870967741935484
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,17, #14,32,155,0.2064516129032258
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,18, #16,28,155,0.18064516129032257
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,19, #2 ,20,155,0.12903225806451613
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,20, #31,17,155,0.10967741935483871
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,21, & q,36,155,0.23225806451612904
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,22, '64,22,155,0.14193548387096774
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,23, 'br,42,155,0.2709677419354839
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,24, 'de,61,155,0.3935483870967742
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,25, 'la,67,155,0.432258064516129
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,26, #12,39,155,0.25161290322580643
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,27, #15,35,155,0.22580645161290322
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,28, #1:,55,155,0.3548387096774194
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,29, #21,24,155,0.15483870967741936
2,block_infix_fingerprint_v002.json,32,local_split_entropy,4,0.0,1.0,title,title,30, $10,38,155,0.24516129032258063
