metadata_version,metadata_file,fingerprint_width,feature_selection_method,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,ngrams,alias_count,block_presence_count,total_block_count,block_frequency
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,0, 4t,"["" 4t""]",1,77,155,0.4967741935483871
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,1, nb,"["" nb""]",1,70,155,0.45161290322580644
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,2, 'j,"["" 'j""]",1,64,155,0.4129032258064516
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,3, #8,"["" #8""]",1,60,155,0.3870967741935484
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,4, (j,"["" (j""]",1,55,155,0.3548387096774194
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,5, 1-,"["" 1-""]",1,74,155,0.4774193548387097
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,6, $1,"["" $1""]",1,61,155,0.3935483870967742
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,7, 2',"["" 2'""]",1,43,155,0.27741935483870966
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,0, 4t,"["" 4t""]",1,77,155,0.4967741935483871
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,1, nb,"["" nb""]",1,70,155,0.45161290322580644
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,2, 'j,"["" 'j""]",1,64,155,0.4129032258064516
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,3, #8,"["" #8""]",1,60,155,0.3870967741935484
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,4, (j,"["" (j""]",1,55,155,0.3548387096774194
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,5, 1-,"["" 1-""]",1,74,155,0.4774193548387097
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,6, $1,"["" $1""]",1,61,155,0.3935483870967742
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,7, 2',"["" 2'""]",1,43,155,0.27741935483870966
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,8, 3-,"["" 3-""]",1,67,155,0.432258064516129
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,9, 55,"["" 55""]",1,71,155,0.45806451612903226
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,10, #9,"["" #9""]",1,65,155,0.41935483870967744
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,11, 'v,"["" 'v""]",1,60,155,0.3870967741935484
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,12, (u,"["" (u""]",1,70,155,0.45161290322580644
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,13, (v,"["" (v""]",1,69,155,0.44516129032258067
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,14, 01,"["" 01""]",1,62,155,0.4
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,15, # ,"["" # ""]",1,36,155,0.23225806451612904
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,0, 4t,"["" 4t""]",1,77,155,0.4967741935483871
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,1, nb,"["" nb""]",1,70,155,0.45161290322580644
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,2, 'j,"["" 'j""]",1,64,155,0.4129032258064516
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,3, #8,"["" #8""]",1,60,155,0.3870967741935484
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,4, (j,"["" (j""]",1,55,155,0.3548387096774194
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,5, 1-,"["" 1-""]",1,74,155,0.4774193548387097
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,6, $1,"["" $1""]",1,61,155,0.3935483870967742
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,7, 2',"["" 2'""]",1,43,155,0.27741935483870966
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,8, 3-,"["" 3-""]",1,67,155,0.432258064516129
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,9, 55,"["" 55""]",1,71,155,0.45806451612903226
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,10, #9,"["" #9""]",1,65,155,0.41935483870967744
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,11, 'v,"["" 'v""]",1,60,155,0.3870967741935484
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,12, (u,"["" (u""]",1,70,155,0.45161290322580644
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,13, (v,"["" (v""]",1,69,155,0.44516129032258067
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,14, 01,"["" 01""]",1,62,155,0.4
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,15, # ,"["" # ""]",1,36,155,0.23225806451612904
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,16, #0,"["" #0""]",1,40,155,0.25806451612903225
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,17, $2,"["" $2""]",1,38,155,0.24516129032258063
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,18, '4,"["" '4""]",1,50,155,0.3225806451612903
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,19, 'u,"["" 'u""]",1,56,155,0.36129032258064514
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,20, 'y,"["" 'y""]",1,51,155,0.32903225806451614
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,21, 02,"["" 02""]",1,48,155,0.3096774193548387
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,22, 03,"["" 03""]",1,55,155,0.3548387096774194
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,23, 1),"["" 1)""]",1,71,155,0.45806451612903226
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,24, 1s,"["" 1s""]",1,69,155,0.44516129032258067
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,25, 63,"["" 63""]",1,64,155,0.4129032258064516
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,26," ""s","["" \""s""]",1,17,155,0.10967741935483871
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,27, $5,"["" $5""]",1,42,155,0.2709677419354839
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,28, 'z,"["" 'z""]",1,35,155,0.22580645161290322
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,29, (z,"["" (z""]",1,45,155,0.2903225806451613
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,30, 05,"["" 05""]",1,47,155,0.3032258064516129
2,block_infix_fingerprint_v002.json,32,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,31," ""i","["" \""i""]",1,9,155,0.05806451612903226
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,0, 4t,"["" 4t""]",1,77,155,0.4967741935483871
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,1, nb,"["" nb""]",1,70,155,0.45161290322580644
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,2, 'j,"["" 'j""]",1,64,155,0.4129032258064516
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,3, #8,"["" #8""]",1,60,155,0.3870967741935484
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,4, (j,"["" (j""]",1,55,155,0.3548387096774194
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,5, 1-,"["" 1-""]",1,74,155,0.4774193548387097
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,6, $1,"["" $1""]",1,61,155,0.3935483870967742
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,7, 2',"["" 2'""]",1,43,155,0.27741935483870966
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,8, 3-,"["" 3-""]",1,67,155,0.432258064516129
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,9, 55,"["" 55""]",1,71,155,0.45806451612903226
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,10, #9,"["" #9""]",1,65,155,0.41935483870967744
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,11, 'v,"["" 'v""]",1,60,155,0.3870967741935484
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,12, (u,"["" (u""]",1,70,155,0.45161290322580644
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,13, (v,"["" (v""]",1,69,155,0.44516129032258067
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,14, 01,"["" 01""]",1,62,155,0.4
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,15, # ,"["" # ""]",1,36,155,0.23225806451612904
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,16, #0,"["" #0""]",1,40,155,0.25806451612903225
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,17, $2,"["" $2""]",1,38,155,0.24516129032258063
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,18, '4,"["" '4""]",1,50,155,0.3225806451612903
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,19, 'u,"["" 'u""]",1,56,155,0.36129032258064514
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,20, 'y,"["" 'y""]",1,51,155,0.32903225806451614
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,21, 02,"["" 02""]",1,48,155,0.3096774193548387
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,22, 03,"["" 03""]",1,55,155,0.3548387096774194
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,23, 1),"["" 1)""]",1,71,155,0.45806451612903226
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,24, 1s,"["" 1s""]",1,69,155,0.44516129032258067
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,25, 63,"["" 63""]",1,64,155,0.4129032258064516
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,26," ""s","["" \""s""]",1,17,155,0.10967741935483871
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,27, $5,"["" $5""]",1,42,155,0.2709677419354839
3,block_infix_fingerprint_v003.json,64,local_split_entropy_equivalence_classes,3,0.0,0.5,title,title,28, 'z,"["" 'z""]",1,35,155,0.22580645161290322
