configuration,point_id,fingerprint_width,ngram_size,min_block_frequency,max_block_frequency,metadata_file,blocks_skipped,skipped_partitions,query_count
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,block-infix-v000,8,2,0.0,0.01,block_infix_fingerprint_v000.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,block-infix-v001,16,2,0.0,0.01,block_infix_fingerprint_v001.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,block-infix-v002,32,2,0.0,0.01,block_infix_fingerprint_v002.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,block-infix-v003,64,2,0.0,0.01,block_infix_fingerprint_v003.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,block-infix-v004,128,2,0.0,0.01,block_infix_fingerprint_v004.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v000,8,2,0.0,0.05,block_infix_fingerprint_v000.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v001,16,2,0.0,0.05,block_infix_fingerprint_v001.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v002,32,2,0.0,0.05,block_infix_fingerprint_v002.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v003,64,2,0.0,0.05,block_infix_fingerprint_v003.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v004,128,2,0.0,0.05,block_infix_fingerprint_v004.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,block-infix-v005,256,2,0.0,0.05,block_infix_fingerprint_v005.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v000,8,2,0.0,0.1,block_infix_fingerprint_v000.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v001,16,2,0.0,0.1,block_infix_fingerprint_v001.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v002,32,2,0.0,0.1,block_infix_fingerprint_v002.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v003,64,2,0.0,0.1,block_infix_fingerprint_v003.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v004,128,2,0.0,0.1,block_infix_fingerprint_v004.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,block-infix-v005,256,2,0.0,0.1,block_infix_fingerprint_v005.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v000,8,2,0.0,0.25,block_infix_fingerprint_v000.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v001,16,2,0.0,0.25,block_infix_fingerprint_v001.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v002,32,2,0.0,0.25,block_infix_fingerprint_v002.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v003,64,2,0.0,0.25,block_infix_fingerprint_v003.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v004,128,2,0.0,0.25,block_infix_fingerprint_v004.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,block-infix-v005,256,2,0.0,0.25,block_infix_fingerprint_v005.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v000,8,2,0.0,0.5,block_infix_fingerprint_v000.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v001,16,2,0.0,0.5,block_infix_fingerprint_v001.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v002,32,2,0.0,0.5,block_infix_fingerprint_v002.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v003,64,2,0.0,0.5,block_infix_fingerprint_v003.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v004,128,2,0.0,0.5,block_infix_fingerprint_v004.json,0,0,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,block-infix-v005,256,2,0.0,0.5,block_infix_fingerprint_v005.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,block-infix-v000,8,3,0.0,0.01,block_infix_fingerprint_v000.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,block-infix-v001,16,3,0.0,0.01,block_infix_fingerprint_v001.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,block-infix-v002,32,3,0.0,0.01,block_infix_fingerprint_v002.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,block-infix-v003,64,3,0.0,0.01,block_infix_fingerprint_v003.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,block-infix-v004,128,3,0.0,0.01,block_infix_fingerprint_v004.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,block-infix-v005,256,3,0.0,0.01,block_infix_fingerprint_v005.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v000,8,3,0.0,0.05,block_infix_fingerprint_v000.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v001,16,3,0.0,0.05,block_infix_fingerprint_v001.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v002,32,3,0.0,0.05,block_infix_fingerprint_v002.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v003,64,3,0.0,0.05,block_infix_fingerprint_v003.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v004,128,3,0.0,0.05,block_infix_fingerprint_v004.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,block-infix-v005,256,3,0.0,0.05,block_infix_fingerprint_v005.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v000,8,3,0.0,0.1,block_infix_fingerprint_v000.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v001,16,3,0.0,0.1,block_infix_fingerprint_v001.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v002,32,3,0.0,0.1,block_infix_fingerprint_v002.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v003,64,3,0.0,0.1,block_infix_fingerprint_v003.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v004,128,3,0.0,0.1,block_infix_fingerprint_v004.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,block-infix-v005,256,3,0.0,0.1,block_infix_fingerprint_v005.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,block-infix-v000,8,3,0.0,0.25,block_infix_fingerprint_v000.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,block-infix-v001,16,3,0.0,0.25,block_infix_fingerprint_v001.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,block-infix-v002,32,3,0.0,0.25,block_infix_fingerprint_v002.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,block-infix-v003,64,3,0.0,0.25,block_infix_fingerprint_v003.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,block-infix-v004,128,3,0.0,0.25,block_infix_fingerprint_v004.json,0,0,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,block-infix-v005,256,3,0.0,0.25,block_infix_fingerprint_v005.json,0,0,190
