configuration,ngram_size,min_block_frequency,max_block_frequency,fingerprint_width,average_ngrams_per_selected_bit,query_count,zero_bit_query_count
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,8,4.625,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,16,3.875,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,32,4.6875,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,64,4.078125,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,128,3.15,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,32,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,64,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,128,1.4921875,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,256,1.4805194805194806,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,32,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,64,1.015625,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,128,1.4375,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,256,1.37012987012987,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,2,0.0,0.25,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,2,0.0,0.25,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,2,0.0,0.25,32,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,2,0.0,0.25,64,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,2,0.0,0.25,128,1.375,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p25,2,0.0,0.25,256,1.3181818181818181,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,2,0.0,0.5,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,2,0.0,0.5,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,2,0.0,0.5,32,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,2,0.0,0.5,64,1.0,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,2,0.0,0.5,128,1.359375,190,190
local_split_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p5,2,0.0,0.5,256,1.3051948051948052,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,8,53.125,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,16,66.9375,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,32,68.4375,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,64,71.71875,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,128,62.3046875,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,256,58.967532467532465,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,8,1.125,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,16,1.0625,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,32,1.03125,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,64,1.046875,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,128,14.859375,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,256,14.707792207792208,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,16,1.0625,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,32,1.03125,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,64,1.125,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,128,13.734375,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,256,13.519480519480519,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,32,1.0,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,64,1.0,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,128,11.5078125,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,256,11.883116883116884,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,32,1.0,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,64,1.015625,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,128,10.96875,190,190
local_split_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,256,11.162337662337663,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,8,487.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,16,446.125,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,32,448.40625,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,64,465.625,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,128,514.7578125,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,256,511.25324675324674,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p05,4,0.0,0.05,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p05,4,0.0,0.05,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p05,4,0.0,0.05,32,1.03125,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p05,4,0.0,0.05,64,9.234375,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p05,4,0.0,0.05,128,131.7421875,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p05,4,0.0,0.05,256,148.8181818181818,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p1,4,0.0,0.1,8,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p1,4,0.0,0.1,16,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p1,4,0.0,0.1,32,1.0,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p1,4,0.0,0.1,64,1.140625,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p1,4,0.0,0.1,128,132.0703125,190,190
local_split_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p1,4,0.0,0.1,256,112.47402597402598,190,190
