metadata_version,metadata_file,fingerprint_width,feature_selection_method,hamming_cluster_count,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,ngrams,alias_count,block_presence_count,total_block_count,block_frequency
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,0,.!,"["".!""]",1,78,155,0.5032258064516129
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,1,3/,"[""3/""]",1,77,155,0.4967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,2,cv,"[""cv""]",1,77,155,0.4967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,3,7t,"[""7t""]",1,82,155,0.5290322580645161
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,4,x!,"[""x!""]",1,70,155,0.45161290322580644
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,5,z.,"[""z.""]",1,80,155,0.5161290322580645
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,6,$1,"[""$1""]",1,80,155,0.5161290322580645
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,7,'0,"[""'0""]",1,96,155,0.6193548387096774
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,0,.!,"["".!""]",1,78,155,0.5032258064516129
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,1,3/,"[""3/""]",1,77,155,0.4967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,2,cv,"[""cv""]",1,77,155,0.4967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,3,7t,"[""7t""]",1,82,155,0.5290322580645161
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,4,x!,"[""x!""]",1,70,155,0.45161290322580644
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,5,z.,"[""z.""]",1,80,155,0.5161290322580645
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,6,$1,"[""$1""]",1,80,155,0.5161290322580645
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,7,'0,"[""'0""]",1,96,155,0.6193548387096774
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,8,3t,"[""3t""]",1,76,155,0.49032258064516127
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,9,'5,"[""'5""]",1,59,155,0.38064516129032255
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.01,1,title,title,10, =,"["" =""]",1,68,155,0.43870967741935485
