metadata_version,metadata_file,fingerprint_width,feature_selection_method,hamming_cluster_count,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,ngrams,alias_count,block_presence_count,total_block_count,block_frequency
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,0, 4 -,"["" 4 -""]",1,77,155,0.4967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,1,& na,"[""& na""]",1,77,155,0.4967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,2,azok,"[""azok""]",1,77,155,0.4967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,3,dega,"[""dega""]",1,76,155,0.49032258064516127
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,4,ef s,"[""ef s""]",1,77,155,0.4967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,5,pe r,"[""pe r""]",1,73,155,0.47096774193548385
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,6,si b,"[""si b""]",1,75,155,0.4838709677419355
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,7,zele,"[""zele""]",1,76,155,0.49032258064516127
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,0, 4 -,"["" 4 -""]",1,77,155,0.4967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,1,& na,"[""& na""]",1,77,155,0.4967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,2,azok,"[""azok""]",1,77,155,0.4967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,3,dega,"[""dega""]",1,76,155,0.49032258064516127
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,4,ef s,"[""ef s""]",1,77,155,0.4967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,4,0.0,0.5,title,title,5,pe r,"[""pe r""]",1,73,155,0.47096774193548385
