metadata_version,metadata_file,fingerprint_width,feature_selection_method,hamming_cluster_count,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,ngrams,alias_count,block_presence_count,total_block_count,block_frequency
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,0.01,title,title,0, ),"["" )"", ""!c"", ""[z"", ""u=""]",4,1,155,0.0064516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,0.01,title,title,1,!#,"[""!#"", ""#:"", ""*?"", ""1#""]",4,1,155,0.0064516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,0.01,title,title,2,!%,"[""!%"", ""?i""]",2,1,155,0.0064516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,0.01,title,title,3,!2,"[""!2"", ""!;"", ""1z""]",3,1,155,0.0064516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,0.01,title,title,4,!3,"[""!3""]",1,1,155,0.0064516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,0.01,title,title,5,!@,"[""!@"", ""$'"", ""&*"", ""c["", ""e}"", ""{p""]",6,1,155,0.0064516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,0.01,title,title,6,!b,"[""!b"", ""$c"", ""-$"", ""0;"", ""2@"", ""4;"", ""6*"", ""6w"", "";0"", "";4"", ""_z"", ""w+""]",12,1,155,0.0064516129032258064
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,0.01,title,title,7,!e,"[""!e"", ""\""@"", ""*4"", ""4*"", ""@\""""]",5,1,155,0.0064516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,154,2,0.0,0.01,title,title,0, ),"["" )"", ""!c"", ""[z"", ""u=""]",4,1,155,0.0064516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,154,2,0.0,0.01,title,title,1,!#,"[""!#"", ""#:"", ""*?"", ""1#""]",4,1,155,0.0064516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,154,2,0.0,0.01,title,title,2,!%,"[""!%"", ""?i""]",2,1,155,0.0064516129032258064
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,154,2,0.0,0.01,title,title,3,!2,"[""!2"", ""!;"", ""1z""]",3,1,155,0.0064516129032258064
