metadata_version,metadata_file,fingerprint_width,feature_selection_method,hamming_cluster_count,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,ngrams,alias_count,block_presence_count,total_block_count,block_frequency
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,0,.!,"["".!""]",1,78,155,0.5032258064516129
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,1,/7,"[""/7""]",1,59,155,0.38064516129032255
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,2,$1,"[""$1""]",1,80,155,0.5161290322580645
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,3,!/,"[""!/""]",1,99,155,0.6387096774193548
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,4,$5,"[""$5""]",1,58,155,0.3741935483870968
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,5,% ,"[""% ""]",1,60,155,0.3870967741935484
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,6, =,"["" =""]",1,68,155,0.43870967741935485
0,block_infix_fingerprint_v000.json,8,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,7," ""","["" \""""]",1,74,155,0.4774193548387097
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,0,.!,"["".!""]",1,78,155,0.5032258064516129
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,1,/7,"[""/7""]",1,59,155,0.38064516129032255
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,2,$1,"[""$1""]",1,80,155,0.5161290322580645
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,3,!/,"[""!/""]",1,99,155,0.6387096774193548
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,4,$5,"[""$5""]",1,58,155,0.3741935483870968
1,block_infix_fingerprint_v001.json,16,local_split_entropy_equivalence_classes,154,2,0.0,1,title,title,5,% ,"[""% ""]",1,60,155,0.3870967741935484
