metadata_version,metadata_file,fingerprint_width,feature_selection_method,hamming_cluster_count,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,ngrams,alias_count,block_presence_count,total_block_count,block_frequency
0,block_infix_fingerprint_v000.json,8,local_split_entropy_hamming_clusters,154,2,0.0,0.1,title,title,0,"""?","[""\""?"", ""'$"", ""']"", ""(7"", ""(_"", ""*."", ""->"", "".]"", ""7p"", ""7r"", ""8s"", ""8w"", ""[8"", ""[9"", ""[f"", ""[g"", ""[l"", ""[m"", ""[o"", ""[u"", ""[w"", ""_)"", ""__"", ""b5"", ""b7"", ""b]"", ""c9"", ""d\"""", ""g("", ""g*"", ""h4"", ""h]"", ""j5"", ""k]"", ""p4"", ""s5"", ""vx"", ""w5"", ""y]""]",39,78,155,0.5032258064516129
0,block_infix_fingerprint_v000.json,8,local_split_entropy_hamming_clusters,154,2,0.0,0.1,title,title,1, /,"["" /"", ""!n"", ""#@"", ""$$"", ""$/"", ""%!"", ""&%"", ""&r"", ""&w"", ""0p"", ""1l"", ""3;"", ""3@"", ""6d"", "":7"", "">p"", ""@&"", ""@a"", ""d^"", ""i$"", ""l9"", ""o4"", ""s0"", ""t5"", ""w@"", ""x7""]",26,79,155,0.5096774193548387
0,block_infix_fingerprint_v000.json,8,local_split_entropy_hamming_clusters,154,2,0.0,0.1,title,title,2, _,"["" _"", ""$ "", ""3e"", ""4e"", ""_ "", ""v3""]",6,86,155,0.5548387096774193
0,block_infix_fingerprint_v000.json,8,local_split_entropy_hamming_clusters,154,2,0.0,0.1,title,title,3, <,"["" <"", ""!l"", ""\""c"", ""\""i"", ""#t"", ""3j"", ""7j"", "":m"", ""f\"""", ""h;"", ""n\"""", ""r\"""", ""r6"", ""v0""]",14,58,155,0.3741935483870968
0,block_infix_fingerprint_v000.json,8,local_split_entropy_hamming_clusters,154,2,0.0,0.1,title,title,4, @,"["" @"", ""@ ""]",2,85,155,0.5483870967741935
0,block_infix_fingerprint_v000.json,8,local_split_entropy_hamming_clusters,154,2,0.0,0.1,title,title,5,*t,"[""*t"", ""h*"", ""sx""]",3,84,155,0.5419354838709678
0,block_infix_fingerprint_v000.json,8,local_split_entropy_hamming_clusters,154,2,0.0,0.1,title,title,6,'q,"[""'q"", "",'"", "".x"", ""2g"", ""7'"", ""=x"", ""w)"", ""wx"", ""x3""]",9,100,155,0.6451612903225806
0,block_infix_fingerprint_v000.json,8,local_split_entropy_hamming_clusters,154,2,0.0,0.1,title,title,7, ?,"["" ?"", "" {"", ""$a"", ""%k"", ""&c"", ""2l"", ""5}"", ""=n"", "">l"", ""d4"", ""fq"", ""g&"", ""g2"", ""o;"", ""o_"", ""t8"", ""t>"", ""u5"", ""v4"", ""{."", ""} ""]",21,74,155,0.4774193548387097
1,block_infix_fingerprint_v001.json,16,local_split_entropy_hamming_clusters,154,2,0.0,0.1,title,title,0,"""?","[""\""?"", ""'$"", ""']"", ""(7"", ""(_"", ""*."", ""->"", "".]"", ""7p"", ""7r"", ""8s"", ""8w"", ""[8"", ""[9"", ""[f"", ""[g"", ""[l"", ""[m"", ""[o"", ""[u"", ""[w"", ""_)"", ""__"", ""b5"", ""b7"", ""b]"", ""c9"", ""d\"""", ""g("", ""g*"", ""h4"", ""h]"", ""j5"", ""k]"", ""p4"", ""s5"", ""vx"", ""w5"", ""y]""]",39,78,155,0.5032258064516129
1,block_infix_fingerprint_v001.json,16,local_split_entropy_hamming_clusters,154,2,0.0,0.1,title,title,1, /,"["" /"", ""!n"", ""#@"", ""$$"", ""$/"", ""%!"", ""&%"", ""&r"", ""&w"", ""0p"", ""1l"", ""3;"", ""3@"", ""6d"", "":7"", "">p"", ""@&"", ""@a"", ""d^"", ""i$"", ""l9"", ""o4"", ""s0"", ""t5"", ""w@"", ""x7""]",26,79,155,0.5096774193548387
