configuration,ngram_size,min_block_frequency,max_block_frequency,fingerprint_width,selected_aliases,query_count,zero_bit_query_count
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,32,150,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,64,261,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p01,2,0.0,0.01,128,378,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,32,32,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,64,64,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,128,128,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,256,257,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,512,514,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,800,1040,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p05,2,0.0,0.05,1024,1074,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,32,32,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,64,64,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,128,128,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,256,256,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,512,513,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,800,802,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_2/min_block_frequency_0/max_block_frequency_0p1,2,0.0,0.1,1024,1117,190,190
