feature_selection_method,ngram_size,min_block_frequency,max_block_frequency,hamming_cluster_count,fingerprint_width,metadata_size_bytes,mean_unnecessary_block_read_ratio,zero_bit_query_count,query_count,total_candidate_partitions,total_pruned_partitions,total_ground_truth_partitions,false_positive_partition_count,false_negative_partition_count,run_directory
fingerprint_internal_entropy_equivalence_classes,3,0.25,1.0,154,2000,38750,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260921T084739_900466Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0p25/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.25,1.0,154,4000,77500,0.9655172413793104,189,190,29449,1,29165,284,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260921T084739_900466Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0p25/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.25,1.0,154,6000,116250,0.9655172413793104,189,190,29449,1,29165,284,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260921T084739_900466Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0p25/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.25,1.0,154,8000,155000,0.896551724137931,187,190,29369,81,29165,204,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260921T084739_900466Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0p25/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.25,1.0,154,10000,193750,0.8103448275862069,63,190,29350,100,29165,185,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260921T084739_900466Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0p25/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.5,1.0,154,2000,38750,1.0,190,190,29450,0,29165,285,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260921T084739_900466Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0p5/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.5,1.0,154,4000,77500,0.9310344827586207,188,190,29370,80,29165,205,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260921T084739_900466Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0p5/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.5,1.0,154,6000,116250,0.8103448275862069,63,190,29350,100,29165,185,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260921T084739_900466Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0p5/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.75,1.0,154,2000,38750,0.9655172413793104,189,190,29433,17,29165,268,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260921T084739_900466Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0p75/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.75,1.0,154,4000,77500,0.8793103448275862,65,190,29430,20,29165,265,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260921T084739_900466Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0p75/max_block_frequency_1
